"9945","3560","Hydra Avenue C6","hydra-avenue-c6","0","0","1","24.492168","54.407796"
"10046","1","Oud Metha","oud-metha","0","1","0","25.237400","55.311700"
"10178","3596","Beach Rotana","beach-rotana","0","0","1","24.498967","54.376782"
"10192","2","Al Gurm West","al-gurm-west","0","1","0","24.422954","54.401947"
"10197","3578","East Mangroves Complex","east-mangroves-complex-2","0","0","1","24.437544","54.453816"
"10200","3630","Al Majaz 1","al-majaz-1","0","0","1","25.337511","55.388339"
"10205","36","Central Park Residential Tower","central-park-residential-tower","0","0","1","",""
"10217","36","Park Tower 2","park-tower-2","0","0","1","25.210006","55.279073"
"10224","13","Capital Bay Hotel Apartments","capital-bay-hotel-apartments","0","0","1","25.183165","55.272887"
"10229","29","Amber Residency","amber-residency","0","0","1","25.163922","55.213837"
"10231","15","The Address Dubai Marina","the-address-dubai-marina","0","0","1","25.077413","55.140192"
"10236","8514","Decora Villas","decora-villas","0","0","1","25.111591","55.177949"
"10476","73","Jebel Ali Freezone South","jebel-ali-freezone-south","0","0","1","24.970471","55.073059"
"10483","3594","Nowailey Building","nowailey-building","0","0","1","24.299174","54.697277"
"10490","13","Westburry Tower 2","westburry-tower-2","0","0","1","25.183165","55.272887"
"10503","3618","Lagoon B12","lagoon-b12","0","0","1","25.720612","55.837071"
"10527","3560","Meera Shams Tower 1","meera-shams-tower-1","0","0","1","24.504702","54.410820"
"10539","15","Sanibel Tower","sanibel-tower","0","0","1","",""
"10541","15","Aurora Tower","aurora-tower-2","0","0","1","",""
"10553","1","Dubai Airport Freezone","dubai-airport-freezone","0","1","0","25.260424","55.374918"
"4534","1474","Liwa Centre Tower 1","liwa-centre-tower-1","0","0","1","24.466667","54.366667"
"4539","3583","Al Mazroui Tower","al-mazroui-tower","0","0","1","24.466667","54.366667"
"4541","3583","Morjan Tower","morjan-tower","0","0","1","24.481505","54.364479"
"4546","1477","Complex 3","complex-3","0","0","1","24.412089","54.480701"
"4553","3584","Lafzaeyya Tower","lafzaeyya-tower","0","0","1","24.466667","54.366667"
"4558","3587","Royal Marina Villas","royal-marina-villas","0","0","1","24.478191","54.311879"
"4560","3589","Jawaher Madinat Mbz","jawaher-madinat-mbz","0","0","1","24.333309","54.554679"
"4565","3590","Al Nedal Tower","al-nedal-tower","0","0","1","24.466667","54.366667"
"4572","3590","Barclays Tower A","barclays-tower-a","0","0","1","24.466667","54.366667"
"4577","3591","Mussafah Industrial Area","mussafah-industrial-area","0","0","1","24.362761","54.510853"
"4584","3593","Saadiyat Resort","saadiyat-resort","0","0","1","24.530292","54.445158"
"4589","3596","Al Aryam Tower","al-aryam-tower","0","0","1","24.507534","54.376539"
"4591","3596","Banana Building","banana-building","0","0","1","24.498967","54.376782"
"4596","3598","Zayed Military City Tower 3","zayed-military-city-tower-3","0","0","1","24.496128","54.895129"
"4604","3600","Al Buraymi","al-buraymi","0","0","1","24.248715","55.800290"
"4609","3604","Al Khabisi","al-khabisi","0","0","1","24.230700","55.702017"
"4611","3606","Green Land Compound","green-land-compound","0","0","1","24.211864","55.662934"
"4616","1816","Ain Ajman Tower","ain-ajman-tower","0","0","1","25.399500","55.479600"
"4623","1818","Tower A3","tower-a3","0","0","1","25.392966","55.467834"
"4628","1818","Tower C2","tower-c2","0","0","1","25.390935","55.572037"
"4630","18217","Al Jurf 2","al-jurf-2","0","0","1","25.402263","55.493837"
"4635","1818","Al Khor Towers","al-khor-towers","0","0","1","25.393923","55.457892"
"4642","1818","Falcon Tower 4","falcon-tower-4","0","0","1","25.399288","55.448892"
"4647","1819","Ajman Industrial 1","ajman-industrial-1","0","0","1","25.385628","55.488707"
"4654","1822","Acacia","acacia","0","0","1","25.419039","55.591593"
"4659","1823","Al Ameera Village","al-ameera-village","0","0","1","25.399500","55.479600"
"4661","1824","Al Hilal Tower","al-hilal-tower","0","0","1","25.399500","55.479600"
"4666","1824","Royal Lake View","royal-lake-view","0","0","1","25.399500","55.479600"
"4673","1824","Al Rashid 7","al-rashid-7","0","0","1","25.419144","55.500748"
"4678","1824","Savannah Heights Tower 1","savannah-heights-tower-1","0","0","1","25.399500","55.479600"
"4680","1825","Al Ittihad Village","al-ittihad-village","0","0","1","25.399500","55.479600"
"4685","1827","Al Rashidiya","al-rashidiya","0","0","1","25.396192","55.445777"
"4692","1832","Al Shalal Tower","al-shalal-tower","0","0","1","25.397924","55.579167"
"4697","1832","Chapal The Legacy","chapal-the-legacy","0","0","1","25.397924","55.579177"
"4700","1832","Crimson Court","crimson-court","0","0","1","25.397924","55.579833"
"4705","1832","Fayrooz Tower","fayrooz-tower","0","0","1","25.397924","55.580062"
"4712","1832","Lilies Tower","lilies-tower","0","0","1","25.390935","55.572037"
"4717","1832","Rockland Residence","rockland-residence","0","0","1","25.397924","55.579535"
"4724","1832","Emirates Lake Tower 1","emirates-lake-tower-1","0","0","1","25.397924","55.580490"
"4729","1832","Goldcrest Dreams 3","goldcrest-dreams-3","0","0","1","25.393335","55.574466"
"4731","1832","Green Lake Tower 1","green-lake-tower-1","0","0","1","25.397924","55.579833"
